117187_Eukaryota_25	UP000253456
1172189_Eukaryota_20	UP000006077
1172189_Eukaryota_20	UP000053232
1172190_Bacteria_25	UP000015520
1173061_Eukaryota_25	UP000242525
1173111_Bacteria_50	UP000199695
1173584_Bacteria_30	UP000199650
1173995_Bacteria_28	UP000563524
1174501_Bacteria_28	UP000199050
1175486_Bacteria_28	UP000320209
117567_Bacteria_28	UP000501849
1176176_Bacteria_28	UP000321258
1176177_Bacteria_28	UP000517759
1176198_Bacteria_28	UP000509706
1176198_Bacteria_28	UP000198873
1176243_Bacteria_35	UP000237647
1176257_Bacteria_28	UP000269774
1176257_Bacteria_28	UP000252554
1176646_Bacteria_28	UP000516134
1177574_Bacteria_37	UP000234283
1177755_Bacteria_28	UP000095087
1177982_Bacteria_29	UP000199119
1177982_Bacteria_29	UP000461670
117820_Eukaryota_24	UP000319799
1178537_Bacteria_30	UP000010122
1179467_Bacteria_37	UP000294937
1179777_Bacteria_37	UP000010753
118060_Bacteria_37	UP000067523
118062_Archaea_37	UP000094707
118126_Archaea_28	UP000184671
1181271_Bacteria_30	UP000557688
1181271_Bacteria_30	UP000565205
1181879_Bacteria_28	UP000581769
1181884_Bacteria_28	UP000321490
1181886_Bacteria_28	UP000316184
118246_Bacteria_54	UP000315753
1184387_Bacteria_37	UP000054092
1185415_Bacteria_28	UP000197174
1185766_Bacteria_30	UP000027725
1186196_Archaea_45	UP000199114
1187080_Bacteria_45	UP000292209
1187852_Bacteria_28	UP000036449
1188319_Bacteria_25	UP000033070
1189126_Bacteria_30	UP000237381
1189325_Bacteria_50	UP000184066
118967_Bacteria_37	UP000243297
119000_Bacteria_29	UP000198654
1190415_Bacteria_28	UP000464644
1190415_Bacteria_28	UP000183983
1190417_Bacteria_28	UP000199416
119206_Bacteria_35	UP000069912
119206_Bacteria_35	UP000234239
119206_Bacteria_35	UP000327148
119219_Bacteria_30	UP000070527
119219_Bacteria_30	UP000253772
119219_Bacteria_30	UP000238492
119224_Bacteria_35	UP000049578
1193500_Bacteria_37	UP000298058
1193682_Bacteria_28	UP000186040
1193713_Bacteria_30	UP000282892
1194090_Bacteria_28	UP000184041
1194427_Bacteria_28	UP000057389
1195760_Bacteria_25	UP000184109
119602_Bacteria_37	UP000343306
119602_Bacteria_37	UP000339049
119602_Bacteria_37	UP000254559
119602_Bacteria_37	UP000269028
119602_Bacteria_37	UP000515359
119602_Bacteria_37	UP000503331
119602_Bacteria_37	UP000463947
1196081_Eukaryota_24	UP000249363
1196083_Bacteria_37	UP000231484
1196083_Bacteria_37	UP000230202
1196083_Bacteria_37	UP000229970
1196083_Bacteria_37	UP000231094
1196083_Bacteria_37	UP000192604
1196083_Bacteria_37	UP000192767
1196083_Bacteria_37	UP000231293
1196083_Bacteria_37	UP000229434
1196083_Bacteria_37	UP000027170
1196083_Bacteria_37	UP000230463
1196095_Bacteria_37	UP000093401
1196095_Bacteria_37	UP000093228
1196095_Bacteria_37	UP000319138
1196095_Bacteria_37	UP000093469
1196095_Bacteria_37	UP000093504
1196095_Bacteria_37	UP000093425
1196095_Bacteria_37	UP000319483
1196095_Bacteria_37	UP000093265
1196095_Bacteria_37	UP000093431
1196095_Bacteria_37	UP000247483
1196095_Bacteria_37	UP000093408
1196095_Bacteria_37	UP000093450
1196095_Bacteria_37	UP000093292
1196095_Bacteria_37	UP000093511
1196095_Bacteria_37	UP000093136
1196095_Bacteria_37	UP000247932
1196095_Bacteria_37	UP000093465
1196095_Bacteria_37	UP000093304
1196095_Bacteria_37	UP000194977
1196095_Bacteria_37	UP000093500
1196095_Bacteria_37	UP000093438
1196095_Bacteria_37	UP000093497
1196095_Bacteria_37	UP000093445
1196095_Bacteria_37	UP000093536
1196095_Bacteria_37	UP000093520
1196353_Bacteria_28	UP000199063
119641_Bacteria_20	UP000199263
1197717_Bacteria_37	UP000544265
1197717_Bacteria_37	UP000093044
1197950_Bacteria_28	UP000252582
1198245_Bacteria_28	UP000186004
