25_674054_Bacteria	UP000232455
25_680026_Bacteria	UP000240481
25_684063_Bacteria	UP000183410
25_685_Bacteria	UP000236330
25_68775_Eukaryota	UP000308652
25_693153_Bacteria	UP000092876
25_69360_Bacteria	UP000274556
25_694270_Eukaryota	UP000266234
25_696760_Bacteria	UP000220836
25_706186_Bacteria	UP000295260
25_732237_Bacteria	UP000233365
25_758825_Bacteria	UP000199470
25_77608_Bacteria	UP000004934
25_81037_Bacteria	UP000316174
25_81447_Bacteria	UP000241803
25_81824_Eukaryota	UP000001357
25_82801_Bacteria	UP000199136
25_82803_Bacteria	UP000589373
25_82979_Bacteria	UP000224974
25_83552_Bacteria	UP000031307
25_858221_Eukaryota	UP000219286
25_86049_Eukaryota	UP000094526
25_86103_Bacteria	UP000053030
25_86185_Bacteria	UP000581822
25_870482_Bacteria	UP000199439
25_870908_Bacteria	UP000184211
25_871651_Bacteria	UP000198796
25_87230_Eukaryota	UP000297777
25_875932_Bacteria	UP000070669
25_908946_Bacteria	UP000219167
25_913107_Bacteria	UP000256388
25_930805_Bacteria	UP000433222
25_931535_Bacteria	UP000321798
25_93625_Eukaryota	UP000283269
25_940136_Bacteria	UP000268553
25_946362_Eukaryota	UP000007799
25_947013_Bacteria	UP000184212
25_948756_Bacteria	UP000186666
25_966_Bacteria	UP000190064
25_97084_Bacteria	UP000196531
25_97359_Eukaryota	UP000320762
25_97972_Eukaryota	UP000244855
25_980271_Bacteria	UP000536179
25_98765_Eukaryota	UP000186601
25_991_Bacteria	UP000028712
25_993689_Bacteria	UP000307749
25_993692_Bacteria	UP000051006
25_99675_Bacteria	UP000254664
25_99907_Bacteria	UP000238205
26_100816_Eukaryota	UP000078237
26_104097_Bacteria	UP000464396
26_104099_Bacteria	UP000317617
26_104609_Bacteria	UP000273691
26_1052_Bacteria	UP000218890
26_1066_Bacteria	UP000480275
26_1069201_Eukaryota	UP000075230
26_1076_Bacteria	UP000032515
26_1079_Bacteria	UP000065734
26_1082_Bacteria	UP000182983
26_1108595_Bacteria	UP000178776
26_114742_Eukaryota	UP000054177
26_115783_Bacteria	UP000190102
26_1159556_Eukaryota	UP000027002
26_116188_Bacteria	UP000326598
26_116849_Bacteria	UP000319627
26_120107_Bacteria	UP000218272
26_1275_Bacteria	UP000255046
26_1288494_Bacteria	UP000012179
26_137584_Bacteria	UP000032352
26_138285_Eukaryota	UP000327118
26_143224_Bacteria	UP000185728
26_150831_Bacteria	UP000320593
26_1549858_Bacteria	UP000033200
26_158627_Bacteria	UP000182332
26_1665_Bacteria	UP000249166
26_1705_Bacteria	UP000076947
26_1718_Bacteria	UP000502605
26_173366_Bacteria	UP000273982
26_1833_Bacteria	UP000287380
26_1849603_Bacteria	UP000257819
26_187304_Bacteria	UP000048926
26_1873494_Bacteria	UP000325705
26_1885_Bacteria	UP000247634
26_1886_Bacteria	UP000005105
26_189_Bacteria	UP000544872
26_1890_Bacteria	UP000037372
26_1892_Bacteria	UP000470951
26_1898978_Bacteria	UP000315006
26_1902_Bacteria	UP000500756
26_1907_Bacteria	UP000029482
26_1908_Bacteria	UP000285596
26_1911_Bacteria	UP000254150
26_1912_Bacteria	UP000191078
26_1914_Bacteria	UP000321266
26_1917218_Bacteria	UP000509529
26_1919_Bacteria	UP000219041
26_1930_Bacteria	UP000067448
26_1935_Bacteria	UP000192445
26_1938_Bacteria	UP000037023
26_1945_Bacteria	UP000419138
26_1956_Bacteria	UP000470327
26_1963_Bacteria	UP000217446
26_197482_Bacteria	UP000233248
26_198312_Bacteria	UP000184391
26_1993_Bacteria	UP000183413
26_2014_Bacteria	UP000215370
26_2035_Bacteria	UP000295764
26_2045_Bacteria	UP000030300
26_205332_Bacteria	UP000293865
26_2061_Bacteria	UP000271626
26_208445_Bacteria	UP000199622
26_212423_Bacteria	UP000450000
26_2139_Bacteria	UP000231179
26_219572_Bacteria	UP000182470
26_225845_Bacteria	UP000253509
26_235276_Bacteria	UP000268004
26_240427_Bacteria	UP000093267
26_278940_Eukaryota	UP000308671
26_278948_Eukaryota	UP000297910
26_28092_Bacteria	UP000033618
26_28101_Bacteria	UP000238563
26_28171_Bacteria	UP000528397
